batch,scenario,doctrine,score,assignments
simulated_campaign_batch_18.json,088,balanced,645.6491103210449,10
simulated_campaign_batch_18.json,088,aggressive,434.19370068359365,10
simulated_campaign_batch_18.json,088,fortress,946.4102943572999,10
simulated_campaign_batch_18.json,088,economy,548.2107878265381,10
simulated_campaign_batch_18.json,088,ambush,569.7795405731201,10
simulated_campaign_batch_18.json,088,saturation,550.6475993499755,10
simulated_campaign_batch_18.json,088,scout,539.1368383789062,10
simulated_campaign_batch_18.json,089,balanced,375.22058029174804,3
simulated_campaign_batch_18.json,089,aggressive,310.11244506835936,6
simulated_campaign_batch_18.json,089,fortress,678.3381328582764,3
simulated_campaign_batch_18.json,089,economy,279.6416072845459,3
simulated_campaign_batch_18.json,089,ambush,188.27931632995606,3
simulated_campaign_batch_18.json,089,saturation,283.0164058685303,3
simulated_campaign_batch_18.json,089,scout,174.4059814453125,3
simulated_campaign_batch_18.json,090,balanced,20.835338592529325,0
simulated_campaign_batch_18.json,090,aggressive,309.8220751953125,8
simulated_campaign_batch_18.json,090,fortress,315.9792797088623,0
simulated_campaign_batch_18.json,090,economy,-77.55989723205565,0
simulated_campaign_batch_18.json,090,ambush,168.07943656921387,4
simulated_campaign_batch_18.json,090,saturation,-78.01099586486814,0
simulated_campaign_batch_18.json,090,scout,146.89266967773438,4
simulated_campaign_batch_19.json,091,balanced,503.08539909362787,10
simulated_campaign_batch_19.json,091,aggressive,265.0288134765625,10
simulated_campaign_batch_19.json,091,fortress,799.8024863815307,10
simulated_campaign_batch_19.json,091,economy,406.7538586044311,10
simulated_campaign_batch_19.json,091,ambush,326.67512035369873,10
simulated_campaign_batch_19.json,091,saturation,388.63843868255617,10
simulated_campaign_batch_19.json,091,scout,305.15772827148436,10
simulated_campaign_batch_19.json,092,balanced,262.3266010284424,0
simulated_campaign_batch_19.json,092,aggressive,358.1274340820312,6
simulated_campaign_batch_19.json,092,fortress,558.4583543777466,0
simulated_campaign_batch_19.json,092,economy,163.6368906021118,0
simulated_campaign_batch_19.json,092,ambush,246.49225971221924,2
simulated_campaign_batch_19.json,092,saturation,163.0741891860962,0
simulated_campaign_batch_19.json,092,scout,225.69677734375,2
simulated_campaign_batch_19.json,093,balanced,557.6728309631347,5
simulated_campaign_batch_19.json,093,aggressive,336.25983276367185,5
simulated_campaign_batch_19.json,093,fortress,866.8767887115478,5
simulated_campaign_batch_19.json,093,economy,465.69043464660643,5
simulated_campaign_batch_19.json,093,ambush,374.50168800354004,5
simulated_campaign_batch_19.json,093,saturation,451.47775154113765,5
simulated_campaign_batch_19.json,093,scout,364.7076721191406,5
simulated_campaign_batch_19.json,094,balanced,253.11049880981446,0
simulated_campaign_batch_19.json,094,aggressive,326.6341674804687,30
simulated_campaign_batch_19.json,094,fortress,551.8906513214112,0
simulated_campaign_batch_19.json,094,economy,153.13392372131347,0
simulated_campaign_batch_19.json,094,ambush,73.00536994934083,0
simulated_campaign_batch_19.json,094,saturation,153.0520938873291,0
simulated_campaign_batch_19.json,094,scout,52.993688964843756,0
simulated_campaign_batch_19.json,095,balanced,349.5386059570312,4
simulated_campaign_batch_19.json,095,aggressive,369.80629760742187,8
simulated_campaign_batch_19.json,095,fortress,645.8729809570311,4
simulated_campaign_batch_19.json,095,economy,252.73440185546872,4
simulated_campaign_batch_19.json,095,ambush,506.04342163085937,8
simulated_campaign_batch_19.json,095,saturation,246.35794799804688,4
simulated_campaign_batch_19.json,095,scout,478.79229003906255,8
simulated_campaign_batch_2.json,006,balanced,555.4981422424316,3
simulated_campaign_batch_2.json,006,aggressive,338.20982666015624,3
simulated_campaign_batch_2.json,006,fortress,844.5352207183837,3
simulated_campaign_batch_2.json,006,economy,451.3705829620361,3
simulated_campaign_batch_2.json,006,ambush,380.29383583068847,3
simulated_campaign_batch_2.json,006,saturation,451.51241645812985,3
simulated_campaign_batch_2.json,006,scout,360.6516906738281,3
simulated_campaign_batch_2.json,007,balanced,320.01988792419434,0
simulated_campaign_batch_2.json,007,aggressive,274.39961791992187,12
simulated_campaign_batch_2.json,007,fortress,617.2803594589233,0
simulated_campaign_batch_2.json,007,economy,220.9814344406128,0
simulated_campaign_batch_2.json,007,ambush,254.2090676498413,2
